TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
8628000000.0	209402052.9	168571266.8	345141237.5
8629000000.0	209406897.3	168573640.0	345164690.7
8630000000.0	209411740.7	168576012.7	345188142.5
8631000000.0	209416583.4	168578384.9	345211592.7
8632000000.0	209421425.1	168580756.7	345235041.5
8633000000.0	209426266.1	168583128.0	345258488.8
8634000000.0	209431106.1	168585498.8	345281934.7
8635000000.0	209435945.4	168587869.1	345305379.0
8636000000.0	209440783.8	168590239.0	345328821.9
8637000000.0	209445621.3	168592608.4	345352263.3
8638000000.0	209450458.0	168594977.3	345375703.3
8639000000.0	209455293.8	168597345.8	345399141.7
8640000000.0	209460128.8	168599713.7	345422578.7
8641000000.0	209464963.0	168602081.3	345446014.2
